c59320_retnmdl_eda_dataset_v1.opportunity__c,c59320_retnmdl_eda_dataset_v1.ags__c,c59320_retnmdl_eda_dataset_v1.legal_account_name__c,c59320_retnmdl_eda_dataset_v1.account_name,c59320_retnmdl_eda_dataset_v1.sold,c59320_retnmdl_eda_dataset_v1.close_month,c59320_retnmdl_eda_dataset_v1.close_year,c59320_retnmdl_eda_dataset_v1.duration_yrs,c59320_retnmdl_eda_dataset_v1.market,c59320_retnmdl_eda_dataset_v1.segment_sub,c59320_retnmdl_eda_dataset_v1.fundng_ty,c59320_retnmdl_eda_dataset_v1.sic_division,c59320_retnmdl_eda_dataset_v1.dups,c59320_retnmdl_eda_dataset_v1.prebbd_re,c59320_retnmdl_eda_dataset_v1.bbd,c59320_retnmdl_eda_dataset_v1.postbbd_re,c59320_retnmdl_eda_dataset_v1.rnwl_fund
OP-1819398,612877,"FARO Logistics Solutions, Inc.",NULL,N,Jan,2017.0,1.417,Florida South,250-500,ASO,Transp_Comms_Electric_Sanitary,1,NULL,NULL,NULL,NULL
OP-1819399,608286,Farrell Distributing Corporation,NULL,Y,Jan,2017.0,4.083,New England,100-249,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
OP-1819401,615058,"FASTSIGNS International, Inc.",NULL,N,Jan,2017.0,0.917,Texas North,100-249,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1819402,615647,Fathers Of St Charles,NULL,Y,Jan,2017.0,0.917,Carolinas,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819404,615367,FBAC,NULL,Y,Jan,2017.0,0.917,Mountain States,2-99,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1819406,608435,FEDERAL MANAGEMENT PARTNERS,NULL,Y,Jan,2017.0,4,MD/VA/DC,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819407,610564,"Federation of State Medical Boards, Inc.",NULL,Y,Jan,2017.0,2.917,Texas North,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819408,605882,"Fiducial, Inc.",NULL,Y,Jan,2017.0,6.833,NY/NJ,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819410,612285,FieldPoint Private Bank & Trust,NULL,Y,Jan,2017.0,1.917,NY/NJ,2-99,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1819411,3334283,Fieldturf,Fieldturf,Y,Jan,2017.0,5.917,GA/AL,250-500,Guaranteed Cost,Ag_Forestry_Fishing,1,0.00803137144039701,-0.008015,-4.80000016978011e-05,GC
OP-1819412,612036,FilmTrack Inc.,NULL,Y,Jan,2017.0,2,MD/VA/DC,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819413,615262,Financial Aid Management for Education Inc,NULL,Y,Jan,2017.0,0.917,Florida South,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819417,615187,Financial Resources Federal Credit Union,NULL,Y,Jan,2017.0,0.917,NY/NJ,2-99,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1819418,612621,FINCA International,NULL,Y,Jan,2017.0,1.917,MD/VA/DC,100-249,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1819419,613108,"Finished Basement, Inc. dba Finished Basement Company",NULL,Y,Jan,2017.0,1.917,Mountain States,2-99,ASO,Construction,1,NULL,NULL,NULL,NULL
OP-1819423,610764,"Finn Partners, Inc.",NULL,Y,Jan,2017.0,2.75,MD/VA/DC,250-500,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819424,615307,Fire & Police Pension Association of Colorado,NULL,Y,Jan,2017.0,0.917,Mountain States,2-99,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1819425,608663,Firefighters of Boca Raton,NULL,Y,Jan,2017.0,3.917,Florida South,250-500,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819426,607333,Fire Protection Service Corporation,NULL,Y,Jan,2017.0,4.917,Mountain States,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819429,615116,First Montgomery Group,NULL,Y,Jan,2017.0,0.917,Liberty Valley,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819431,359023,First National Bank of Livingston,NULL,Y,Jan,2017.0,10.583,North Texas,100-249,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1819433,612339,First Potomac Realty Trust,First Potomac Realty Trust,Y,Jan,2017.0,1.917,MD/VA/DC,100-249,Guaranteed Cost,Finance_Insur_RlEstate,1,0.234750379606766,-0.032189,0.195004999637604,GC
OP-1819435,613021,"First Priority Emergency Vehicles, Inc.","First Priority Emergency Vehicles, Inc.",Y,Jan,2017.0,1.917,NY/NJ,2-99,Guaranteed Cost,Manufacturing,1,0.198128165210448,-0.067866,0.116815999150276,GC
OP-1819436,612375,First Reserve Corporation,NULL,Y,Jan,2017.0,1.917,NY/NJ,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819437,607474,Five Towns College,NULL,Y,Jan,2017.0,4.917,NY/NJ,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819439,615552,FL Aviation,NULL,Y,Jan,2017.0,0.917,NY/NJ,2-99,ASO,Transp_Comms_Electric_Sanitary,1,NULL,NULL,NULL,NULL
OP-1819440,612167,"Fleco Industries, Inc.",NULL,Y,Jan,2017.0,1.917,Texas North,100-249,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1819441,615422,Floral Supply,NULL,Y,Jan,2017.0,0.917,California South,100-249,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
OP-1819442,607379,Florida Keys Mosquito Control District,NULL,Y,Jan,2017.0,4.917,Florida South,100-249,ASO,Transp_Comms_Electric_Sanitary,1,NULL,NULL,NULL,NULL
OP-1819443,612357,Florists' Mutual Insurance Company,Florists' Mutual Insurance Company,N,Jan,2017.0,1.917,MidAmerica,100-249,Guaranteed Cost,Finance_Insur_RlEstate,1,9.99999974737875e-06,0.0,9.99999974737875e-06,GC
OP-1819448,610592,"Flow Control Industries, Inc.",NULL,Y,Jan,2017.0,2.917,Pacific Northwest,2-99,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1819449,610707,"Flow Polymers, LLC",NULL,Y,Jan,2017.0,2.833,Midwest,100-249,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1819451,612649,"Flow Science, Inc.",NULL,Y,Jan,2017.0,2,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819453,182912,"Floyd's Truck Center, Inc.",NULL,Y,Jan,2017.0,10.667,Mountain States,100-249,ASO,Retail_Trade,1,NULL,NULL,NULL,NULL
OP-1819455,608439,"Flywheel Sports, Inc.","Flywheel Sports, Inc.",Y,Jan,2017.0,3.917,Florida Tampa/Orlando,250-500,Guaranteed Cost,Services,1,0.0847279293942234,-0.04584,0.0350040011107922,GC
OP-1819456,615074,FNY CAPITAL MANAGEMENT LP,NULL,Y,Jan,2017.0,0.917,NY/NJ,100-249,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1819458,614814,Food Bank for Larimer County,NULL,N,Jan,2017.0,0.917,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819461,605179,FoodScience Corporation,NULL,Y,Jan,2017.0,8.917,New England,100-249,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
OP-1819463,606347,"FoodServiceWarehouse.com, LLC",NULL,N,Jan,2017.0,5.667,Mountain States,2-99,ASO,Retail_Trade,1,NULL,NULL,NULL,NULL
OP-1819464,612797,"Forde Construction Co., Inc.",NULL,Y,Jan,2017.0,1.917,North Texas,2-99,ASO,Construction,1,NULL,NULL,NULL,NULL
OP-1819465,612431,"Forney Industries, Inc.",NULL,Y,Jan,2017.0,1.917,Mountain States,100-249,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
OP-1819466,3334457,Forrest Solutions,Forrest Solutions Inc.,Y,Jan,2017.0,5.917,NY/NJ,O500,Guaranteed Cost,Services,1,0.193536045910521,-0.095569,0.0794709995388985,GC
OP-1819467,615240,"Fors Marsh Group, LLC",NULL,Y,Jan,2017.0,0.917,MD/VA/DC,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819468,614656,Forsyth Country Day School,NULL,Y,Jan,2017.0,0.917,Carolinas,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819469,612623,Fort Collins Women's Clinic P.C.,NULL,Y,Jan,2017.0,1.917,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819470,612415,"Foster, Graham, Milstein & Calisher, LLP",NULL,Y,Jan,2017.0,2,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819471,606198,"Foundation Constructors, Inc.",NULL,Y,Jan,2017.0,5.917,California North,2-99,ASO,Construction,1,NULL,NULL,NULL,NULL
OP-1819472,613092,"Fountain Valley Electrical, LLC",NULL,N,Jan,2017.0,1.917,Mountain States,100-249,ASO,Construction,1,NULL,NULL,NULL,NULL
OP-1819473,3327357,Malca Amit,Malca Amit,Y,Feb,2017.0,10.833,NY/NJ,100-249,Guaranteed Cost,Transp_Comms_Electric_Sanitary,1,-0.0178126396640783,0.05689,0.0380639992654324,GC
OP-1819474,608615,Fountain Valley School of Colorado,NULL,Y,Jan,2017.0,3.917,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819477,612152,Four Peaks Landscape,NULL,Y,Jan,2017.0,2,Arizona,250-500,ASO,Ag_Forestry_Fishing,1,NULL,NULL,NULL,NULL
OP-1819478,615497,"Foursight Capital, LLC",NULL,Y,Jan,2017.0,0.917,Mountain States,100-249,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1819479,614517,"Four Star Fabricators, Inc.",NULL,Y,Jan,2017.0,0.917,Midwest,2-99,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1819488,3338277,"KTA-Tator, Inc.","KTA-Tator, Inc.",Y,Jan,2017.0,1.917,Liberty Valley,100-249,Guaranteed Cost,Services,1,0.100287402872758,-0.000353,0.0998990014195442,GC
OP-1819498,615264,GHP Inc,"GHP Media, Inc.",N,Jan,2017.0,0.917,Connecticut,100-249,Guaranteed Cost,Manufacturing,1,0.105397733316452,-0.000358,0.105002000927925,GC
OP-1819503,620594,"Gibbs & Cox, Inc.","Gibbs & Cox, Inc.",Y,Jan,2017.0,0.917,MD/VA/DC,100-249,Guaranteed Cost,Services,1,0.0,0.0,0.0,GC
OP-1819504,3311728,Good Shepherd Services,Good Shepherd Services,N,Jan,2017.0,12.917,MD/VA/DC,100-249,Guaranteed Cost,Services,1,-0.299973994493485,0.0,-0.299973994493485,GC
OP-1819598,608645,"Fox Theatre, Inc.",NULL,Y,Jan,2017.0,3.917,GA/AL,2-99,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1819599,610312,"Francesca Restaurants, LLC",NULL,Y,Jan,2017.0,2.917,Midwest,100-249,ASO,Retail_Trade,1,NULL,NULL,NULL,NULL
OP-1819602,615556,"Freedom Fire Protection, LLC",NULL,Y,Jan,2017.0,0.917,Mountain States,2-99,ASO,Construction,1,NULL,NULL,NULL,NULL
OP-1819604,3335604,Frequency Electronics Inc,"Frequency Electronics, Inc.",Y,Jan,2017.0,4.917,NY/NJ,250-500,Guaranteed Cost,Manufacturing,1,0.179771463048423,0.000181,0.179985001683235,GC
OP-1819605,3210856,Freshfields Bruckhaus Deringer US LLP,Freshfields Bruckhaus Deringer US LLP,Y,Jan,2017.0,17.25,NY/NJ,250-500,Guaranteed Cost,Services,1,-0.0200260002166033,0.0,-0.0200260002166033,GC
OP-1819606,606969,"Friedman Fleischer & Lowe, LLC",NULL,Y,Jan,2017.0,5.167,California North,2-99,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1819607,612056,"Friendship Hospital for Animals, Inc.","Friendship Hospital for Animals, Inc.",N,Jan,2017.0,2.083,NY/NJ,100-249,Guaranteed Cost,Ag_Forestry_Fishing,1,0.248776350790804,-0.03894,0.20014899969101,GC
OP-1819608,615586,Friends of Children and Families,NULL,N,Jan,2017.0,0.417,Pacific Northwest,250-500,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819609,610549,Friends of KEXP,NULL,N,Jan,2017.0,2.917,Pacific Northwest,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819610,610175,Frist Capital LLC,NULL,Y,Jan,2017.0,2.917,Tennessee,100-249,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1819611,614928,Frontier Communications Corporation,NULL,Y,Jan,2017.0,0.917,Mountain States,2-99,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
OP-1819612,612095,Frontline Medical Communications Inc,Frontline Medical Communications Inc,Y,Jan,2017.0,1.917,NY/NJ,100-249,Guaranteed Cost,Manufacturing,1,0.305263175342071,-0.064784,0.22070300579071,GC
OP-1819614,608519,"Avadel US Holdings, Inc.",NULL,Y,Jan,2017.0,3.917,Carolinas,2-99,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
OP-1819616,614984,"Fujitec America, Inc.",NULL,Y,Jan,2017.0,0.917,Liberty Valley,100-249,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1819617,183448,"Full Circle Solutions, Inc",NULL,N,Jan,2017.0,9.417,Carolinas,2-99,ASO,Transp_Comms_Electric_Sanitary,1,NULL,NULL,NULL,NULL
OP-1819619,614730,"Fullerton Engineering Consultants, Inc.",NULL,Y,Jan,2017.0,0.917,Midwest,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819620,613067,"Further Enterprise Solutions, LLC",NULL,Y,Jan,2017.0,1.917,MD/VA/DC,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819622,615248,"Fury Management, Inc.",NULL,Y,Jan,2017.0,0.917,Florida Tampa/Orlando,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819625,610242,"Fuse, LLC",NULL,Y,Jan,2017.0,2.917,New England,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819628,615456,"FUZION FIELD SERVICES, LLC",NULL,Y,Jan,2017.0,0.917,Mountain States,2-99,ASO,Mining,1,NULL,NULL,NULL,NULL
OP-1819629,3338560,"G. E. Tignall & Company, Inc.","G. E. Tignall & Company, Inc.",N,Jan,2017.0,1.917,MD/VA/DC,2-99,Guaranteed Cost,Construction,1,0.221868665154467,-0.057199,0.151978999376297,GC
OP-1819630,182114,"G2K, Corp. dba GBC",NULL,N,Jan,2017.0,11.417,Mountain States,250-500,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1819632,606209,"Gaco Western, LLC",NULL,Y,Jan,2017.0,5.917,Pacific Northwest,100-249,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1819633,615035,"Gagemaker, LP",NULL,Y,Jan,2017.0,0.917,North Texas,2-99,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1819634,607304,Gagosian Gallery Inc.,NULL,Y,Jan,2017.0,4.917,NY/NJ,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819635,610634,Galaxy General Contracting Corp.,Galaxy General Contracting Corp.,Y,Jan,2017.0,2.917,NY/NJ,2-99,Guaranteed Cost,Services,1,0.097914895085301,-0.086329,0.00313300010748208,GC
OP-1819636,610072,"Gallagher, Flynn & Company",NULL,Y,Jan,2017.0,2.917,New England,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819637,612626,"Gallagher & Kennedy, P.A.","Gallagher & Kennedy, P.A.",Y,Jan,2017.0,1.917,Arizona,100-249,Guaranteed Cost,Services,1,0.059807383169362,-0.040687,0.0166870001703501,GC
OP-1819639,606274,Gal Manufacturing,NULL,Y,Jan,2017.0,5.917,NY/NJ,100-249,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1819641,615281,Gaming Capital Group LLC,NULL,Y,Jan,2017.0,0.917,NY/NJ,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819643,612517,"The Gart Companies, Inc.",NULL,Y,Jan,2017.0,1.917,Mountain States,250-500,ASO,Retail_Trade,1,NULL,NULL,NULL,NULL
OP-1819644,610511,Gary Community Investment Company,NULL,Y,Jan,2017.0,2.917,Mountain States,2-99,ASO,Mining,1,NULL,NULL,NULL,NULL
OP-1819645,607436,Gary Sanitary District,NULL,Y,Jan,2017.0,4.917,Midwest,100-249,ASO,Public_Admin,1,NULL,NULL,NULL,NULL
OP-1819646,608320,Gas South LLC,NULL,Y,Jan,2017.0,3.917,GA/AL,100-249,ASO,Transp_Comms_Electric_Sanitary,1,NULL,NULL,NULL,NULL
OP-1819647,615487,"Gauss Management Research and Engineering, Inc.",NULL,N,Jan,2017.0,0.917,NY/NJ,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819648,608828,"GAVS Technologies North America, Inc.",NULL,Y,Jan,2017.0,3.917,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819649,608826,GDB International Inc,NULL,Y,Jan,2017.0,3.917,NY/NJ,2-99,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
OP-1819650,612826,Food Marketing Institute,Food Marketing Institute,Y,Jan,2017.0,1.917,MD/VA/DC,2-99,Guaranteed Cost,Services,1,0.0152829627405695,-0.015047,6.00000021222513e-06,GC
OP-1819652,621966,"Golden Empire Mfg., Inc.",NULL,Y,Jan,2017.0,0.917,Mountain States,2-99,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1819653,3334673,"Gemstone Hotels & Resorts, LLC","Gemstone Hotels & Resorts, LLC",N,Jan,2017.0,5.667,Mountain States,100-249,Guaranteed Cost,Services,1,0.0,0.0,0.0,GC
OP-1819654,166529,"General Plastics & Composites, LP",NULL,Y,Jan,2017.0,17.917,North Texas,250-500,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1819656,3335578,"Generations Family Health Center, Inc.","Generations Family Health Center, Inc.",Y,Jan,2017.0,4.917,Connecticut,2-99,Guaranteed Cost,Services,1,0.0589042848618941,-0.0618,-0.00653599994257092,GC
OP-1819658,610472,Genpro Inc,NULL,Y,Jan,2017.0,2.917,NY/NJ,2-99,ASO,Transp_Comms_Electric_Sanitary,1,NULL,NULL,NULL,NULL
OP-1819659,608683,"Geokon, Inc.",NULL,Y,Jan,2017.0,3.917,New England,100-249,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1819660,611674,"Geometric Results, Inc. (subsidiary of MSX International, Inc.)","Geometric Results, Inc. (subsidiary of MSX International, Inc.)",N,Jan,2017.0,2.25,Mountain States,2-99,Guaranteed Cost,Services,1,0.227079685327686,-0.185057,0.0,GC
OP-1819664,607455,George T. Sanders Company,NULL,Y,Jan,2017.0,4.917,Mountain States,100-249,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
OP-1819665,614789,"Georgia Biomass, LLC",NULL,Y,Jan,2017.0,0.917,GA/AL,2-99,ASO,Transp_Comms_Electric_Sanitary,1,NULL,NULL,NULL,NULL
OP-1819666,614703,Georgia Cancer Specialists,Georgia Cancer Specialists,Y,Jan,2017.0,0.917,GA/AL,100-249,Guaranteed Cost,Services,1,0.188367613314927,-0.080808,0.092338003218174,GC
OP-1819667,615095,"Geotech Environmental Equipment, Inc.",NULL,Y,Jan,2017.0,0.917,Mountain States,100-249,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1819668,183058,"SFS Group, Inc.",NULL,N,Jan,2017.0,10.5,NY/NJ,100-249,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1819669,612331,"Vimo, Inc.",NULL,Y,Jan,2017.0,1.917,California North,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819670,3336826,"Fibrocell Science, Inc.","Fibrocell Science, Inc.",Y,Jan,2017.0,3.917,NY/NJ,2-99,Guaranteed Cost,Manufacturing,1,0.0750019997358322,0.0,0.0750019997358322,GC
OP-1819672,614780,"Finley Engineering Company, Inc.","Finley Engineering Company, Inc.",Y,Jan,2017.0,0.917,MidAmerica,100-249,Guaranteed Cost,Services,1,0.297290460236915,-0.044046,0.24015000462532,GC
OP-1819673,621580,First Brokers Securities,First Brokers Securities,N,Jan,2017.0,1.917,NY/NJ,2-99,Guaranteed Cost,Services,1,0.0,0.0,0.0,GC
OP-1819675,620534,First Colonies Anesthesia Associates,First Colonies Anesthesia Associates,Y,Jan,2017.0,0.917,MD/VA/DC,100-249,Guaranteed Cost,Services,1,0.0,0.0,0.0,GC
OP-1819677,615046,Fisher Bros,Fisher Bros,Y,Jan,2017.0,0.917,NY/NJ,100-249,Guaranteed Cost,Transp_Comms_Electric_Sanitary,1,0.219887528365671,-0.135599,0.0544719994068146,GC
OP-1819723,3332749,Goodway Technologies Corporation,Goodway Technologies Corporation,Y,Jan,2017.0,6.917,Connecticut,2-99,Guaranteed Cost,Manufacturing,1,0.0703341774649697,-0.000358,0.0699509978294373,GC
OP-1819724,614594,"Hartree Partners, LP","Hartree Partners, LP",Y,Jan,2017.0,0.917,Connecticut,100-249,Guaranteed Cost,Mining,1,0.0803776532925544,-0.000344,0.0800060033798218,GC
OP-1819725,612947,Haverfield Aviation,Haverfield Aviation,Y,Jan,2017.0,1.917,NY/NJ,100-249,Guaranteed Cost,Transp_Comms_Electric_Sanitary,1,0.150002002716064,0.0,0.150002002716064,GC
OP-1819726,614903,"Havis, Inc",Havis Inc,Y,Jan,2017.0,0.917,NY/NJ,100-249,Guaranteed Cost,Wholesale_Trade,1,0.0534279292801703,-0.018547,0.033890001475811,GC
OP-1819727,3336626,Hermosa Beach City School District,Hermosa Beach City School District,Y,Jan,2017.0,3.917,California South,100-249,Guaranteed Cost,Services,1,0.0500349998474121,0.0,0.0500349998474121,GC
OP-1819729,620859,GrowthPlay,GrowthPlay,Y,Jan,2017.0,0.917,MD/VA/DC,100-249,Guaranteed Cost,Services,1,0.0,0.0,0.0,GC
OP-1819754,3338679,"O.S.T. Trucking Co., Inc.","O.S.T. Trucking Co., Inc.",N,Jan,2017.0,1.917,MD/VA/DC,100-249,Guaranteed Cost,Transp_Comms_Electric_Sanitary,1,0.0879170409837187,-0.004027,0.0835359990596771,GC
OP-1819755,608809,"O'Brien Industrial Holdings, LLC",NULL,N,Jan,2017.0,3.917,MidAmerica,2-99,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
OP-1819758,613082,"O'Meara Ford Center, Inc.",NULL,Y,Jan,2017.0,1.917,Mountain States,100-249,ASO,Retail_Trade,1,NULL,NULL,NULL,NULL
OP-1819759,612767,Pitt Electric,NULL,Y,Jan,2017.0,1.917,Carolinas,100-249,ASO,Construction,1,NULL,NULL,NULL,NULL
OP-1819762,612866,"Oakwood Systems Group, Inc.",NULL,N,Jan,2017.0,1.917,MidAmerica,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819763,614467,Observint Technologies,NULL,Y,Jan,2017.0,0.917,North Texas,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819765,612081,"Oceus Networks, Inc.","Oceus Networks, Inc.",Y,Jan,2017.0,1.917,MD/VA/DC,100-249,Guaranteed Cost,Transp_Comms_Electric_Sanitary,1,0.0349580012261868,0.0,0.0349580012261868,GC
OP-1819767,607533,"OCI Associates, Inc.",NULL,Y,Jan,2017.0,4.917,Florida Tampa/Orlando,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819768,609356,Office of District Attorney 18th Judicial,NULL,Y,Jan,2017.0,3.333,Mountain States,100-249,ASO,Public_Admin,1,NULL,NULL,NULL,NULL
OP-1819769,180043,Office of the District Attorney 5th Judicial District,NULL,Y,Jan,2017.0,15.417,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819770,610329,"Ogden Murphy Wallace, PLLC",NULL,Y,Jan,2017.0,2.917,Pacific Northwest,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819771,615225,"Ogle School Management, LLC",NULL,Y,Jan,2017.0,0.917,Texas North,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819772,3336768,Gary Nelson Inc. dba Olympic Brake Supply,Olympic Brake Supply,N,Jan,2017.0,3.917,Pacific Northwest,2-99,Guaranteed Cost,Wholesale_Trade,1,-0.00141404720174931,0.001381,-3.5000000934815e-05,GC
OP-1819774,180868,"Omega Industries, Inc.",NULL,Y,Jan,2017.0,13.917,Pacific Northwest,100-249,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1819775,614969,Omega Optical Inc,NULL,N,Jan,2017.0,0.917,New England,2-99,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1819776,549973,"Omimex Resources, Inc.",NULL,Y,Jan,2017.0,14.917,Texas North,2-99,ASO,Mining,1,NULL,NULL,NULL,NULL
OP-1819777,3335623,"OMITRON, INC","OMITRON, INC",Y,Jan,2017.0,4.917,MD/VA/DC,100-249,Guaranteed Cost,Services,1,-0.000899232056844057,0.000854,-4.60000010207295e-05,GC
OP-1819778,615119,Omniguide Inc,Omniguide Inc,N,Jan,2017.0,0.917,New England,2-99,Guaranteed Cost,Retail_Trade,1,0.0756282415038929,0.001491,0.0772320032119751,GC
OP-1819779,614893,Oncology Consultants PA,NULL,Y,Jan,2017.0,0.917,North Texas,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819780,3335385,On Deck Capital,"On Deck Capital, Inc.",Y,Jan,2017.0,4.917,NY/NJ,250-500,Guaranteed Cost,Services,1,0.0834065580155279,-0.037198,0.0431060008704662,GC
OP-1819782,610455,"OneHope, Inc.",NULL,Y,Jan,2017.0,2.917,Florida South,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819783,610052,WaterCo of the Midwest,NULL,Y,Jan,2017.0,2.917,Midwest,100-249,ASO,Construction,1,NULL,NULL,NULL,NULL
OP-1819784,605451,Onion River Cooperative d/b/a City Market,NULL,Y,Jan,2017.0,7.917,New England,100-249,ASO,Retail_Trade,1,NULL,NULL,NULL,NULL
OP-1819785,610356,OnSite Innovations,NULL,Y,Jan,2017.0,2.917,Liberty Valley,100-249,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1819842,607197,Opera Software International,NULL,Y,Jan,2017.0,4.917,California North,250-500,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819844,615344,Opera Solutions LLC,NULL,Y,Jan,2017.0,0.917,NY/NJ,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819845,612766,"Operative Media, Inc.",NULL,Y,Jan,2017.0,1.917,NY/NJ,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1819848,612702,"OPKO Health, Inc.","OPKO Health, Inc.",N,Jan,2017.0,1.917,Florida South,100-249,Guaranteed Cost,Services,1,0.101655781272138,-0.02765,0.0711949989199638,GC
OP-1819850,3332465,Optical Society of America,Optical Society of America,Y,Jan,2017.0,6.917,MD/VA/DC,100-249,Guaranteed Cost,Services,1,0.0458179635172595,0.01661,0.0631889998912811,GC
OP-1819851,612384,"Optus, Inc.",NULL,N,Jan,2017.0,1.917,Tennessee,100-249,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
OP-1819854,609900,"Oracle Flexible Packaging, Inc.","Oracle Flexible Packaging, Inc.",Y,Jan,2017.0,2.917,Midwest,250-500,Guaranteed Cost,Services,1,-0.00214783749063019,0.001938,-0.000213999999687076,GC
OP-1819855,560210,Oregon Air Reps,NULL,N,Jan,2017.0,15.75,Pacific Northwest,2-99,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
